-10.000000 0.627800
-9.591837 0.137076
-9.183673 -0.150420
-8.775510 0.344484
-8.367347 -0.082731
-7.959184 0.017747
-7.551020 0.022738
-7.142857 -0.003646
-6.734694 0.574101
-6.326531 -0.043010
-5.918367 0.477205
-5.510204 0.360919
-5.102041 0.355646
-4.693878 0.035615
-4.285714 0.133893
-3.877551 -0.032130
-3.469388 0.435655
-3.061224 0.429828
-2.653061 0.612903
-2.244898 1.282181
-1.836735 1.173181
-1.428571 1.809803
-1.020408 2.117384
-0.612245 3.048968
-0.204082 2.554501
0.204082 3.235682
0.612245 3.271119
1.020408 3.951873
1.428571 3.824075
1.836735 3.315778
2.244898 3.020048
2.653061 1.997382
3.061224 1.795322
3.469388 1.720366
3.877551 0.785295
4.285714 0.309417
4.693878 0.406939
5.102041 -0.054624
5.510204 0.674963
5.918367 0.222516
6.326531 0.130021
6.734694 0.412622
7.142857 0.396138
7.551020 -0.013623
7.959184 0.270926
8.367347 0.320830
8.775510 0.038101
9.183673 0.074717
9.591837 -0.031204
10.000000 0.367589
